amount,channel,hour,is_new_device,device_trust_score,days_since_last_tx,tx_velocity_1h,merchant_risk_score,customer_age,has_chargeback_history,country_risk_score,target
215.21,CARD,20,1,0.637,1.78,2,0.083,35,1,0.437,0
99.48,CARD,8,0,0.306,5.18,1,0.442,28,0,0.349,0
32.34,PIX,18,0,0.189,0.19,0,0.632,27,1,0.427,0
48.71,CARD,19,0,0.428,2.52,1,0.654,33,0,0.663,0
161.12,PIX,1,1,0.403,2.64,2,0.328,36,1,0.279,0
258.35,PIX,9,0,0.23,1.04,1,0.103,18,1,0.637,0
732.94,PIX,2,1,0.718,0.71,1,0.443,42,0,0.231,0
1673.17,PIX,14,1,0.396,2.45,0,0.874,41,1,0.294,1
176.44,PIX,19,1,0.466,1.84,2,0.245,39,0,0.65,0
49.87,PIX,13,0,0.242,11.66,0,0.658,49,1,0.084,0
17.83,PIX,7,0,0.409,0.35,1,0.646,30,1,0.047,0
154.62,CARD,23,0,0.332,7.43,3,0.349,38,1,0.476,0
58.46,CARD,2,0,0.306,3.81,2,0.596,47,0,0.699,0
83.61,CARD,3,1,0.556,0.02,0,0.352,33,1,0.493,0
70.04,PIX,8,0,0.729,2.46,3,0.256,38,0,0.449,0
107.05,PIX,22,0,0.205,1.01,1,0.48,43,0,0.189,0
317.15,CARD,21,1,0.499,0.26,4,0.267,41,0,0.632,0
139.96,PIX,13,0,0.547,2.74,0,0.332,28,1,0.621,0
105.34,CARD,22,0,0.537,4.29,0,0.807,42,0,0.211,0
47.84,CARD,21,0,0.184,2.12,1,0.448,49,1,0.114,0
26.92,PIX,14,1,0.116,0.57,1,0.362,39,0,0.637,0
78.44,PIX,2,1,0.298,10.91,1,0.102,35,1,0.684,0
115.77,PIX,21,0,0.556,2.44,2,0.365,35,0,0.572,0
596.53,PIX,15,0,0.714,3.39,2,0.457,36,1,0.115,0
136.63,PIX,3,0,0.123,3.81,1,0.734,36,0,0.175,0
294.26,CARD,20,0,0.595,0.18,2,0.309,46,1,0.538,0
77.53,CARD,9,1,0.158,3.84,2,0.049,23,0,0.498,0
41.83,PIX,18,0,0.821,1.04,2,0.358,46,0,0.282,0
50.98,PIX,6,1,0.314,7.65,0,0.778,18,1,0.539,0
63.26,PIX,0,1,0.614,0.81,0,0.748,24,0,0.518,0
825.2,PIX,10,0,0.283,2.86,1,0.539,37,1,0.223,1
58.02,CARD,10,1,0.838,1.09,0,0.536,51,1,0.28,0
258.43,CARD,20,0,0.472,2.91,1,0.596,52,1,0.337,0
53.91,CARD,2,0,0.339,1.26,4,0.3,44,0,0.414,0
281.02,PIX,21,0,0.027,1.64,2,0.621,41,0,0.891,0
171.82,PIX,3,1,0.346,1.88,2,0.492,39,0,0.442,0
105.53,CARD,22,0,0.682,13.0,2,0.316,34,1,0.474,0
117.13,CARD,16,1,0.236,1.22,1,0.678,21,1,0.495,0
67.4,CARD,8,1,0.56,0.42,4,0.741,30,0,0.665,0
181.54,PIX,22,1,0.294,0.32,2,0.636,33,0,0.3,0
80.68,CARD,8,1,0.214,0.79,0,0.694,29,1,0.322,0
40.32,PIX,15,1,0.118,0.34,1,0.443,24,0,0.755,0
38.47,PIX,0,1,0.315,0.05,0,0.657,32,1,0.113,0
141.93,CARD,2,1,0.346,16.51,3,0.466,25,1,0.463,0
503.3,PIX,8,1,0.71,11.26,1,0.372,54,1,0.706,0
140.33,CARD,5,0,0.191,5.39,1,0.431,41,1,0.382,0
109.2,PIX,5,0,0.671,1.85,1,0.551,35,1,0.034,0
157.16,PIX,9,0,0.059,2.87,3,0.615,29,1,0.28,1
393.63,PIX,14,1,0.109,4.31,1,0.437,30,1,0.067,1
148.03,CARD,3,1,0.301,8.35,1,0.627,47,1,0.283,0
83.95,CARD,18,0,0.053,3.92,2,0.741,18,1,0.28,0
328.87,PIX,20,0,0.188,0.44,0,0.612,47,0,0.308,0
178.73,PIX,20,1,0.508,0.01,3,0.479,48,1,0.136,0
484.05,PIX,4,0,0.229,0.83,1,0.647,43,0,0.703,0
143.3,PIX,21,0,0.584,0.82,1,0.222,31,0,0.211,0
40.37,CARD,3,1,0.377,0.49,1,0.555,35,1,0.643,1
35.47,PIX,2,1,0.434,2.67,5,0.51,18,1,0.932,1
536.91,PIX,17,1,0.224,1.0,1,0.577,35,0,0.695,0
573.24,PIX,18,1,0.516,6.24,0,0.261,31,1,0.741,0
103.38,CARD,3,0,0.388,0.09,1,0.499,45,0,0.143,0
86.07,CARD,9,0,0.454,1.82,1,0.351,52,0,0.419,0
452.73,CARD,9,1,0.112,4.02,2,0.496,44,0,0.652,0
44.87,CARD,17,1,0.434,1.31,0,0.796,36,1,0.351,0
54.31,CARD,12,0,0.186,0.76,1,0.54,40,0,0.436,0
216.8,PIX,14,0,0.567,0.53,2,0.522,34,0,0.41,0
85.19,CARD,1,1,0.455,0.6,2,0.523,46,0,0.191,0
120.95,CARD,23,1,0.456,4.3,1,0.774,35,1,0.246,0
104.89,PIX,13,1,0.277,3.01,1,0.908,48,0,0.26,0
164.65,CARD,16,0,0.577,6.31,0,0.744,33,1,0.146,0
431.27,CARD,11,1,0.438,1.31,0,0.359,35,1,0.769,1
131.83,CARD,5,0,0.773,2.7,3,0.325,29,0,0.567,0
216.92,PIX,16,1,0.693,1.24,1,0.292,53,1,0.369,0
19.2,PIX,6,0,0.464,0.47,2,0.222,46,1,0.08,0
116.3,CARD,5,1,0.415,5.66,2,0.375,47,1,0.517,1
56.89,PIX,13,0,0.587,1.89,0,0.562,47,0,0.251,0
40.57,PIX,8,1,0.286,0.67,1,0.206,33,0,0.519,0
55.13,PIX,21,1,0.144,2.46,0,0.125,28,1,0.709,1
89.95,PIX,15,1,0.72,1.87,2,0.589,46,0,0.124,0
277.08,CARD,8,1,0.46,5.37,0,0.186,34,1,0.083,0
36.83,CARD,0,0,0.259,4.17,0,0.187,44,0,0.503,0
124.91,CARD,8,1,0.407,2.33,1,0.391,36,0,0.679,0
78.59,PIX,2,0,0.43,1.63,1,0.857,44,0,0.429,0
90.48,PIX,5,1,0.36,5.96,1,0.436,40,1,0.088,0
299.61,PIX,6,0,0.656,2.65,0,0.582,30,1,0.177,0
197.22,PIX,15,0,0.306,1.79,1,0.365,22,1,0.81,0
404.91,CARD,2,1,0.609,4.56,0,0.402,32,0,0.902,0
105.74,PIX,3,1,0.044,1.35,2,0.936,39,0,0.47,0
64.95,PIX,0,0,0.155,1.35,0,0.597,28,1,0.338,0
99.34,CARD,22,1,0.761,1.38,2,0.372,37,0,0.186,0
151.15,CARD,23,1,0.684,1.77,2,0.734,36,1,0.65,0
142.44,PIX,7,1,0.192,10.7,1,0.36,20,0,0.222,0
45.79,CARD,10,0,0.276,0.37,1,0.756,21,0,0.513,0
131.82,PIX,7,0,0.219,0.29,4,0.498,43,0,0.531,0
149.22,CARD,12,0,0.475,1.05,1,0.795,18,1,0.45,0
1171.13,CARD,13,1,0.259,3.58,1,0.75,35,1,0.748,1
657.97,PIX,6,0,0.177,6.89,1,0.661,46,0,0.275,0
56.38,PIX,15,0,0.386,6.55,3,0.345,21,0,0.768,0
93.82,PIX,0,0,0.246,5.32,2,0.38,38,1,0.1,0
32.55,CARD,15,0,0.278,0.45,0,0.403,25,0,0.084,0
71.4,PIX,18,0,0.468,1.66,3,0.898,39,0,0.301,0
161.43,CARD,1,0,0.193,7.8,0,0.415,31,1,0.587,0
359.7,PIX,17,1,0.492,0.05,3,0.86,30,0,0.734,0
63.04,PIX,17,1,0.693,0.78,3,0.291,28,1,0.519,0
67.44,PIX,23,0,0.294,0.22,1,0.601,31,1,0.334,0
17.59,PIX,19,0,0.148,1.12,0,0.506,23,0,0.799,0
104.96,PIX,0,1,0.541,7.64,1,0.371,30,0,0.415,0
46.7,CARD,1,1,0.386,8.06,5,0.399,20,0,0.325,0
75.45,CARD,3,0,0.595,0.28,2,0.665,46,0,0.107,0
55.19,PIX,13,0,0.884,1.01,0,0.125,33,1,0.014,0
111.63,CARD,17,1,0.213,4.05,3,0.665,47,0,0.125,0
24.98,PIX,15,1,0.731,1.93,2,0.689,42,0,0.342,0
32.45,CARD,7,1,0.242,0.12,0,0.24,36,1,0.339,0
825.78,PIX,4,1,0.403,2.24,1,0.393,25,0,0.272,0
38.14,CARD,1,0,0.263,0.75,1,0.594,27,0,0.507,0
45.28,PIX,8,0,0.385,8.86,1,0.273,38,0,0.538,0
634.74,PIX,7,0,0.734,17.98,1,0.454,56,0,0.622,0
1659.98,CARD,7,0,0.491,0.41,1,0.375,22,1,0.409,0
42.33,PIX,2,1,0.301,0.52,4,0.455,43,0,0.195,0
87.23,PIX,6,0,0.253,3.13,0,0.805,55,0,0.294,0
165.24,PIX,20,1,0.436,1.18,1,0.791,48,0,0.295,0
575.84,CARD,5,0,0.158,4.08,2,0.643,34,1,0.298,0
49.99,PIX,21,0,0.097,2.08,0,0.279,36,0,0.387,0
97.44,PIX,2,0,0.069,7.63,0,0.145,40,1,0.159,0
244.6,CARD,15,1,0.566,0.6,2,0.662,39,0,0.731,0
179.7,CARD,2,1,0.748,6.05,2,0.099,53,1,0.15,0
86.61,PIX,9,0,0.069,2.23,1,0.782,40,0,0.484,0
107.72,CARD,22,1,0.284,7.6,2,0.367,39,0,0.295,0
35.25,PIX,18,0,0.251,4.86,2,0.369,33,1,0.415,1
98.07,PIX,12,1,0.631,13.8,4,0.54,35,0,0.091,0
95.61,PIX,15,0,0.479,2.43,0,0.715,32,0,0.01,0
149.75,CARD,15,1,0.425,5.73,2,0.932,45,1,0.128,1
73.71,CARD,19,1,0.629,4.14,1,0.378,31,0,0.244,0
185.75,PIX,14,0,0.76,1.25,0,0.289,33,1,0.594,0
302.31,PIX,12,0,0.215,3.16,1,0.153,57,0,0.665,1
139.75,PIX,1,1,0.381,2.45,1,0.946,31,1,0.164,1
166.76,PIX,23,1,0.26,1.35,3,0.387,18,0,0.55,0
127.46,PIX,13,0,0.56,1.44,0,0.468,53,1,0.835,0
121.52,CARD,6,0,0.383,3.5,2,0.241,33,0,0.55,0
63.47,PIX,3,1,0.091,1.13,0,0.693,46,0,0.345,0
161.55,CARD,14,0,0.368,1.87,0,0.295,55,1,0.284,0
111.32,PIX,18,0,0.171,2.33,2,0.333,22,1,0.769,1
799.39,PIX,19,0,0.722,2.46,2,0.587,30,1,0.491,0
500.71,PIX,21,1,0.225,3.53,2,0.926,40,1,0.478,0
171.96,CARD,21,0,0.571,1.43,2,0.566,23,0,0.528,0
61.15,PIX,14,0,0.387,1.18,0,0.549,29,0,0.582,0
44.65,PIX,22,1,0.625,5.25,1,0.789,36,1,0.454,0
354.97,PIX,1,0,0.49,2.38,2,0.483,43,0,0.414,0
153.93,CARD,9,1,0.415,1.9,1,0.425,34,0,0.215,0
187.19,CARD,11,1,0.549,2.7,2,0.409,26,0,0.079,0
25.28,PIX,16,0,0.284,1.19,1,0.495,18,0,0.624,0
279.97,PIX,7,1,0.189,4.21,2,0.294,43,1,0.249,1
182.91,PIX,6,0,0.222,2.55,3,0.872,46,1,0.289,0
44.73,PIX,21,1,0.112,0.44,1,0.525,37,0,0.807,1
79.49,CARD,15,0,0.33,1.81,1,0.318,39,0,0.225,0
154.06,PIX,15,0,0.5,5.78,1,0.092,37,1,0.343,1
127.39,CARD,4,1,0.67,2.94,0,0.49,27,1,0.482,0
93.41,CARD,12,0,0.717,4.8,3,0.441,41,0,0.118,0
110.7,CARD,10,1,0.523,0.53,2,0.355,51,1,0.121,0
96.86,PIX,14,1,0.327,1.99,1,0.435,38,1,0.433,0
139.39,CARD,22,1,0.663,3.27,5,0.61,44,1,0.113,0
456.84,PIX,6,0,0.141,0.5,2,0.401,25,1,0.261,1
12.06,PIX,19,0,0.274,0.22,0,0.657,32,1,0.677,0
98.18,CARD,15,1,0.204,1.24,3,0.388,37,0,0.387,0
142.43,PIX,11,1,0.299,0.45,2,0.302,48,0,0.107,0
158.6,PIX,22,0,0.556,1.91,1,0.146,29,0,0.383,0
86.95,PIX,3,1,0.178,2.79,1,0.499,42,0,0.681,0
25.0,PIX,16,0,0.213,2.11,2,0.436,40,0,0.463,0
163.24,CARD,9,1,0.096,7.89,0,0.452,44,1,0.17,0
575.14,CARD,16,1,0.378,6.74,1,0.476,29,0,0.152,0
30.55,CARD,3,0,0.27,3.0,3,0.63,43,1,0.112,0
264.4,PIX,17,0,0.516,2.03,0,0.545,41,1,0.275,0
90.41,PIX,1,0,0.209,3.6,3,0.064,41,1,0.727,0
114.99,PIX,8,1,0.776,2.71,3,0.695,49,1,0.856,0
47.11,PIX,21,0,0.512,8.06,1,0.617,51,0,0.516,0
89.93,CARD,15,1,0.81,1.61,3,0.538,39,0,0.395,0
391.52,CARD,11,1,0.69,8.81,2,0.67,29,1,0.172,0
205.28,CARD,7,0,0.196,9.86,0,0.536,36,1,0.468,0
577.71,CARD,2,0,0.611,2.0,0,0.505,25,0,0.834,0
350.61,PIX,2,1,0.135,0.7,5,0.531,39,0,0.33,1
180.4,CARD,17,1,0.295,2.25,0,0.882,53,1,0.565,0
583.79,CARD,6,0,0.242,3.6,2,0.762,35,0,0.496,0
180.39,CARD,1,1,0.49,3.03,1,0.682,41,1,0.301,1
256.0,PIX,10,0,0.527,3.49,2,0.309,33,0,0.539,0
93.05,CARD,9,1,0.182,1.97,2,0.202,33,0,0.641,0
129.01,PIX,22,0,0.183,4.79,0,0.655,42,1,0.204,1
64.87,CARD,5,0,0.623,5.4,3,0.208,27,1,0.626,0
296.08,CARD,6,1,0.535,1.9,0,0.461,27,1,0.103,0
42.08,CARD,3,0,0.786,6.58,1,0.14,52,1,0.681,0
245.7,PIX,4,0,0.281,7.26,1,0.661,23,1,0.431,1
102.35,PIX,12,1,0.32,0.93,0,0.661,34,0,0.413,0
348.67,CARD,5,1,0.296,1.78,1,0.546,60,0,0.214,0
238.84,CARD,17,1,0.182,5.19,3,0.183,55,1,0.499,0
625.52,CARD,19,1,0.344,1.43,2,0.233,36,1,0.731,0
234.56,PIX,11,1,0.261,0.36,1,0.212,46,0,0.107,0
29.52,CARD,5,0,0.202,1.32,3,0.378,34,0,0.116,0
114.4,CARD,19,0,0.432,5.74,3,0.68,27,1,0.391,0
42.32,PIX,23,0,0.124,6.26,1,0.908,34,1,0.826,0
76.21,PIX,22,1,0.326,0.36,1,0.717,38,1,0.912,0
473.48,CARD,22,1,0.466,2.65,0,0.378,27,0,0.581,0
215.68,PIX,19,0,0.875,0.45,1,0.443,45,0,0.738,0
64.78,CARD,17,0,0.275,2.5,2,0.508,49,0,0.247,0
48.8,CARD,22,1,0.099,2.62,1,0.553,34,0,0.252,0
125.15,PIX,8,0,0.556,0.65,0,0.267,23,1,0.166,0
40.65,PIX,22,0,0.251,4.23,1,0.807,51,0,0.482,0
66.42,CARD,0,0,0.588,1.53,1,0.591,35,0,0.848,0
160.9,CARD,19,0,0.689,0.55,1,0.629,31,1,0.093,0
343.7,CARD,8,0,0.156,1.07,2,0.86,24,0,0.662,1
210.16,CARD,7,1,0.311,12.17,0,0.59,31,1,0.464,0
15.45,CARD,16,0,0.744,1.35,3,0.206,51,1,0.616,0
159.8,CARD,4,0,0.276,1.46,0,0.643,37,1,0.194,1
129.65,CARD,23,1,0.467,1.36,2,0.721,30,1,0.601,0
176.36,PIX,17,1,0.412,2.2,1,0.644,39,0,0.333,0
520.4,PIX,0,1,0.001,0.12,1,0.334,25,0,0.141,1
18.97,PIX,20,0,0.502,2.54,1,0.241,45,1,0.583,0
71.38,CARD,2,0,0.437,1.78,2,0.364,36,0,0.235,0
206.81,PIX,19,1,0.536,6.6,1,0.295,46,0,0.301,0
29.27,CARD,19,0,0.323,1.13,1,0.687,35,1,0.028,0
458.68,CARD,15,0,0.382,0.54,0,0.333,47,0,0.26,0
169.27,PIX,14,0,0.785,3.77,0,0.1,39,0,0.405,0
260.32,PIX,19,0,0.043,1.36,0,0.699,31,0,0.454,0
72.69,CARD,20,1,0.731,3.53,3,0.464,51,0,0.497,0
252.75,PIX,16,0,0.227,0.21,1,0.39,30,1,0.017,0
317.86,CARD,4,0,0.267,9.33,1,0.424,43,1,0.637,0
149.84,PIX,15,1,0.416,10.57,6,0.634,18,0,0.202,0
150.05,PIX,4,1,0.638,1.65,2,0.009,41,1,0.44,0
154.98,CARD,1,1,0.326,0.5,2,0.688,21,0,0.088,0
55.87,PIX,3,1,0.086,2.15,2,0.384,42,1,0.782,0
106.4,PIX,11,0,0.742,2.17,3,0.791,47,1,0.617,0
105.92,PIX,23,0,0.52,0.49,4,0.808,44,1,0.18,0
171.58,PIX,0,0,0.475,0.29,2,0.759,43,0,0.551,1
298.82,CARD,1,0,0.216,0.26,4,0.822,48,1,0.333,0
46.87,PIX,2,0,0.105,1.15,2,0.106,29,1,0.513,0
108.58,PIX,4,0,0.659,4.24,1,0.784,43,0,0.633,0
460.96,PIX,12,1,0.156,0.11,2,0.703,47,1,0.223,1
62.23,PIX,19,1,0.569,4.68,1,0.349,27,1,0.662,0
57.97,PIX,1,1,0.38,5.39,1,0.261,27,1,0.469,0
145.78,CARD,19,1,0.366,1.28,2,0.424,42,1,0.541,0
259.81,PIX,21,1,0.26,6.82,2,0.614,41,0,0.301,0
122.77,CARD,1,1,0.465,0.87,2,0.801,50,0,0.079,0
401.84,PIX,10,0,0.267,4.8,4,0.832,35,1,0.293,0
262.73,PIX,19,1,0.37,1.7,1,0.494,35,0,0.529,0
259.21,PIX,16,0,0.39,0.14,1,0.401,29,1,0.74,1
200.08,CARD,4,1,0.674,1.19,1,0.15,29,1,0.05,0
987.21,CARD,3,0,0.513,0.68,1,0.346,27,0,0.07,0
101.02,PIX,10,0,0.121,9.73,2,0.458,41,0,0.311,0
20.02,CARD,20,1,0.682,1.66,0,0.511,44,1,0.253,0
514.83,PIX,22,0,0.566,1.27,0,0.163,37,1,0.16,0
80.48,CARD,11,1,0.766,0.81,0,0.173,40,1,0.754,0
133.9,CARD,12,1,0.193,5.38,4,0.734,25,0,0.207,0
394.89,PIX,13,0,0.103,2.97,2,0.258,55,0,0.331,0
28.73,PIX,11,0,0.259,8.06,1,0.207,27,1,0.53,0
39.39,PIX,15,1,0.474,0.14,0,0.242,44,1,0.229,0
